sku;name;produzent;land;url;bild;hintergrundbild;isOwnWine
1192721;ARMANDO Cuvée Rouge Valais AOC;1/LAFFU;Schweiz;https://www.flaschenpost.ch/armando-cuvee-rouge-valais-aoc_1-laffu?_size=750&_vintage=2023;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZTNjOWFmNmEtMGMwMS00MmNkLTg4MjAtMjYwNzYyMDk3NGZhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiMGQwYmZhYmMtNzQ0Yi00NGNmLTkzYjAtZWEwM2IwYjAyYTBkLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1207558;Gertrud Rosé Valais AOC;1/LAFFU;Schweiz;https://www.flaschenpost.ch/gertrud-rose-valais-aoc_1-laffu?_size=750&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiNDQxNWMxNjUtMjhmYi00OTU3LTg3OTAtNjhhMWRmOTE4MjJjLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiYTc0ZjIyNzUtYTlhZC00NGY1LWI1YzgtMjlhNDQ0NDRkMmE3LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1211353;Gertrud Rosé Valais AOC;1/LAFFU;Schweiz;https://www.flaschenpost.ch/gertrud-rose-valais-aoc_1-laffu?_size=250&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiN2ViZDg0ZjUtNjI3Yi00ZGIyLTkwY2YtZDc2ZDVlOGZjZDFmLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiYTc0ZjIyNzUtYTlhZC00NGY1LWI1YzgtMjlhNDQ0NDRkMmE3LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1217985;Gertrud Rosé Valais AOC Limited Edition;1/LAFFU;Schweiz;https://www.flaschenpost.ch/gertrud-rose-valais-aoc-limited-edition_1-laffu?_size=750&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiYTU1ODNhNDItZGIwMy00NzQyLTk5NjQtNzNlZWM5ZTBiMTI4LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiNGQ3ZmNlNTItOWIzMy00ZDA5LWI3ZjEtYzU1MmI1YWYwMjc4LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1217992;Gertrud Rosé Valais AOC Limited Edition;1/LAFFU;Schweiz;https://www.flaschenpost.ch/gertrud-rose-valais-aoc-limited-edition_1-laffu?_size=1500&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiYTU1ODNhNDItZGIwMy00NzQyLTk5NjQtNzNlZWM5ZTBiMTI4LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiNGQ3ZmNlNTItOWIzMy00ZDA5LWI3ZjEtYzU1MmI1YWYwMjc4LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1173196;Zion Estate Cabernet Sauvignon Semi sweet;1848 Winery;Israel;https://www.flaschenpost.ch/zion-estate-cabernet-sauvignon-semi-sweet_1848-winery?_size=750&_vintage=0;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiMzRkZTI5YjAtMTNmYS00OTE1LWFiMTItMDdhOGYxODQ3NzBhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1205155;2PR Colheita;2PR;Portugal;https://www.flaschenpost.ch/2pr-colheita_2pr?_size=750&_vintage=2022;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiMDRlZTVkZjktODNhZi00YmU0LTgyY2MtNWVlMjEyZTY4MjU0LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1216192;2PR Gran Reserva;2PR;Portugal;https://www.flaschenpost.ch/2pr-gran-reserva_2pr?_size=3000&_vintage=2023;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiOTE3MThlNmYtZmU0NC00NmM0LWExZTgtMzk3NjExNzhiOTM5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1215165;2PR Gran Reserva;2PR;Portugal;https://www.flaschenpost.ch/2pr-gran-reserva_2pr?_size=750&_vintage=2023;;;false
1216190;2PR Gran Reserva;2PR;Portugal;https://www.flaschenpost.ch/2pr-gran-reserva_2pr?_size=1500&_vintage=2023;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiOTE3MThlNmYtZmU0NC00NmM0LWExZTgtMzk3NjExNzhiOTM5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1179668;2PR Reserva;2PR;Portugal;https://www.flaschenpost.ch/2pr-reserva_2pr?_size=750&_vintage=2021;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiYzhhMzNiMGQtMjYxMi00ZTc5LWI0ZDctYTU4NGMxM2U3NjBlLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1187017;Douscana MMXX;2PR;Portugal;https://www.flaschenpost.ch/douscana-mmxx_2pr?_size=750&_vintage=2020;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZTU5MDkzMTEtMzdiMy00M2I5LWE2YTYtOWMwNGVmNmJjZTI5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1198731;Iter;2PR;Portugal;https://www.flaschenpost.ch/iter_2pr?_size=750&_vintage=2021;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiYmVkYWM1NmItNDI1MC00MTNkLWJhZDctYjgxNDM3YmQ1NDhlLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1186986;Iter Minho;2PR;Portugal;https://www.flaschenpost.ch/iter-minho_2pr?_size=750&_vintage=2023;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiOGQ2YTA4YTctMjQwYi00NmQ4LWE0MTMtNjgzMzhlYTQ0YzZkLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
